timestamped_line
"[16:17:43] Ready. Type 's' to start logging, 'e' to stop."
[16:17:43] Sensor Info:
[16:17:43] Sensor ID: 50
[16:17:43] Sensor Name: FORCE PLATE 850
[16:17:43] Units: N
[16:17:43] ▶️ START LOGGING
"[16:17:43] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[16:18:00] 21.45, Force(N): 39.858, ΔF(N): -5.054, FSR1: 533, FSR2: 1023, FSR3: 1023"
"[16:18:00] 21.57, Force(N): 32.783, ΔF(N): -7.075, FSR1: 638, FSR2: 1023, FSR3: 1023"
"[16:18:00] 21.68, Force(N): 27.729, ΔF(N): -5.054, FSR1: 680, FSR2: 1023, FSR3: 1023"
"[16:18:01] 21.79, Force(N): 25.708, ΔF(N): -2.021, FSR1: 761, FSR2: 1023, FSR3: 1023"
"[16:18:01] 21.91, Force(N): 23.687, ΔF(N): -2.021, FSR1: 787, FSR2: 1023, FSR3: 1023"
"[16:18:01] 22.02, Force(N): 22.676, ΔF(N): -1.011, FSR1: 819, FSR2: 1023, FSR3: 1023"
"[16:18:01] 22.13, Force(N): 21.665, ΔF(N): -1.011, FSR1: 827, FSR2: 1023, FSR3: 1023"
"[16:18:01] 22.25, Force(N): 20.654, ΔF(N): -1.011, FSR1: 834, FSR2: 1023, FSR3: 1023"
"[16:18:01] 22.36, Force(N): 21.665, ΔF(N): 1.011, FSR1: 861, FSR2: 1023, FSR3: 1023"
"[16:18:01] 22.47, Force(N): 19.644, ΔF(N): -2.021, FSR1: 959, FSR2: 1023, FSR3: 1022"
"[16:18:01] 22.58, Force(N): 20.654, ΔF(N): 1.011, FSR1: 953, FSR2: 1023, FSR3: 1023"
"[16:18:02] 23.00, Force(N): 19.644, ΔF(N): -1.011, FSR1: 920, FSR2: 1023, FSR3: 1023"
"[16:18:02] 23.11, Force(N): 20.654, ΔF(N): 1.011, FSR1: 934, FSR2: 1023, FSR3: 1023"
"[16:18:02] 23.42, Force(N): 21.665, ΔF(N): 1.011, FSR1: 932, FSR2: 1023, FSR3: 1023"
"[16:18:02] 23.64, Force(N): 20.654, ΔF(N): -1.011, FSR1: 931, FSR2: 1023, FSR3: 1023"
"[16:18:03] 24.36, Force(N): 21.665, ΔF(N): 1.011, FSR1: 865, FSR2: 1023, FSR3: 1023"
"[16:18:03] 24.47, Force(N): 20.654, ΔF(N): -1.011, FSR1: 842, FSR2: 1023, FSR3: 1023"
"[16:18:03] 24.58, Force(N): 21.665, ΔF(N): 1.011, FSR1: 837, FSR2: 1023, FSR3: 1023"
"[16:18:04] 25.00, Force(N): 22.676, ΔF(N): 1.011, FSR1: 797, FSR2: 1023, FSR3: 1023"
"[16:18:04] 25.11, Force(N): 21.665, ΔF(N): -1.011, FSR1: 756, FSR2: 1023, FSR3: 1023"
