timestamped_line
"[15:48:25] Ready. Type 's' to start logging, 'e' to stop."
[15:48:25] Sensor Info:
[15:48:25] Sensor ID: 50
[15:48:25] Sensor Name: FORCE PLATE 850
[15:48:25] Units: N
[15:48:25] ▶️ START LOGGING
"[15:48:25] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:48:43] 22.24, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:48:43] 22.35, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:48:43] 22.46, Force(N): 22.676, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:48:44] 22.68, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:48:44] 23.10, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1022"
"[15:48:44] 23.21, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:48:45] 23.63, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:48:45] 23.74, Force(N): 20.654, ΔF(N): -2.021, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:48:45] 23.96, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1022"
"[15:48:45] 24.07, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:48:45] 24.18, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1022"
"[15:48:46] 24.50, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:48:46] 24.71, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:48:46] 24.83, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:48:46] 25.24, Force(N): 24.697, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 767"
"[15:48:46] 25.46, Force(N): 25.708, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 705"
