timestamped_line
"[15:47:29] Ready. Type 's' to start logging, 'e' to stop."
[15:47:29] Sensor Info:
[15:47:29] Sensor ID: 50
[15:47:29] Sensor Name: FORCE PLATE 850
[15:47:29] Units: N
[15:47:29] ▶️ START LOGGING
"[15:47:29] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:47:56] 31.19, Force(N): 34.805, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 632"
"[15:47:56] 31.30, Force(N): 33.794, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 633"
"[15:47:57] 31.62, Force(N): 34.805, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 629"
"[15:47:57] 31.73, Force(N): 33.794, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 629"
"[15:47:57] 31.84, Force(N): 34.805, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 627"
"[15:47:57] 31.95, Force(N): 33.794, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 623"
"[15:47:57] 32.07, Force(N): 34.805, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 621"
"[15:47:57] 32.48, Force(N): 33.794, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 624"
"[15:47:58] 32.80, Force(N): 34.805, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 622"
"[15:47:58] 33.11, Force(N): 33.794, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 622"
"[15:47:58] 33.23, Force(N): 34.805, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 620"
"[15:47:58] 33.34, Force(N): 35.815, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 620"
"[15:47:59] 33.55, Force(N): 34.805, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 619"
"[15:47:59] 33.77, Force(N): 35.815, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 618"
"[15:47:59] 33.88, Force(N): 34.805, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 616"
"[15:47:59] 33.99, Force(N): 35.815, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 617"
"[15:48:00] 34.61, Force(N): 34.805, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 616"
"[15:48:00] 35.33, Force(N): 36.826, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 610"
"[15:48:00] 35.44, Force(N): 35.815, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 614"
"[15:48:01] 35.76, Force(N): 34.805, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 613"
"[15:48:01] 35.97, Force(N): 35.815, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 611"
"[15:48:01] 36.18, Force(N): 36.826, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 610"
"[15:48:01] 36.29, Force(N): 35.815, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 610"
"[15:48:02] 36.61, Force(N): 36.826, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 609"
"[15:48:02] 36.72, Force(N): 35.815, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 608"
"[15:48:02] 37.34, Force(N): 36.826, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 606"
"[15:48:03] 37.55, Force(N): 35.815, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 605"
"[15:48:03] 37.67, Force(N): 36.826, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 606"
"[15:48:03] 38.08, Force(N): 35.815, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 604"
"[15:48:03] 38.20, Force(N): 37.837, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 603"
"[15:48:03] 38.31, Force(N): 35.815, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 604"
"[15:48:04] 38.62, Force(N): 36.826, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 605"
"[15:48:04] 39.04, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 602"
"[15:48:04] 39.15, Force(N): 36.826, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 603"
"[15:48:04] 39.26, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 602"
"[15:48:04] 39.48, Force(N): 36.826, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 602"
"[15:48:05] 39.59, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 601"
"[15:48:05] 39.80, Force(N): 36.826, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 601"
"[15:48:05] 39.91, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 600"
"[15:48:05] 40.43, Force(N): 36.826, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 600"
"[15:48:06] 40.54, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 598"
"[15:48:06] 40.65, Force(N): 36.826, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 602"
"[15:48:06] 40.87, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 601"
"[15:48:06] 41.49, Force(N): 36.826, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 594"
"[15:48:07] 41.60, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 605"
"[15:48:07] 41.71, Force(N): 38.848, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 610"
"[15:48:07] 41.82, Force(N): 37.837, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 605"
"[15:48:07] 42.04, Force(N): 38.848, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 600"
"[15:48:07] 42.15, Force(N): 37.837, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 598"
"[15:48:07] 42.26, Force(N): 38.848, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 598"
"[15:48:07] 42.48, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 598"
"[15:48:08] 42.59, Force(N): 40.869, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 597"
"[15:48:08] 42.70, Force(N): 39.858, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 596"
"[15:48:08] 42.81, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 597"
"[15:48:08] 43.43, Force(N): 37.837, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 607"
"[15:48:09] 43.54, Force(N): 38.848, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 598"
"[15:48:09] 43.76, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 596"
"[15:48:09] 43.87, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 595"
"[15:48:09] 43.98, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 594"
"[15:48:09] 44.20, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 594"
"[15:48:10] 44.51, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 592"
"[15:48:10] 44.62, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 591"
"[15:48:10] 45.34, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 588"
"[15:48:11] 45.56, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 589"
"[15:48:11] 45.67, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 589"
"[15:48:11] 45.88, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 590"
"[15:48:11] 46.00, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 590"
"[15:48:11] 46.31, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 588"
"[15:48:11] 46.42, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 588"
"[15:48:12] 46.63, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 590"
"[15:48:12] 46.75, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 591"
"[15:48:12] 46.86, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 590"
"[15:48:12] 47.07, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 590"
"[15:48:12] 47.29, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 592"
"[15:48:13] 47.60, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 593"
"[15:48:13] 47.71, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 594"
"[15:48:13] 47.83, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 594"
"[15:48:13] 48.14, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 593"
"[15:48:13] 48.25, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 591"
"[15:48:13] 48.37, Force(N): 40.869, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 585"
"[15:48:13] 48.48, Force(N): 39.858, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 585"
"[15:48:14] 48.79, Force(N): 40.869, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 585"
"[15:48:14] 48.90, Force(N): 39.858, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 589"
"[15:48:14] 49.12, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 583"
"[15:48:14] 49.23, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 582"
"[15:48:15] 49.55, Force(N): 37.837, ΔF(N): -2.021, FSR1: 1022, FSR2: 1022, FSR3: 601"
"[15:48:15] 49.66, Force(N): 35.815, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 621"
"[15:48:15] 49.77, Force(N): 33.794, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 647"
"[15:48:15] 49.88, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 645"
"[15:48:15] 50.00, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 642"
"[15:48:15] 50.11, Force(N): 34.805, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 635"
"[15:48:15] 50.22, Force(N): 33.794, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 629"
"[15:48:16] 50.54, Force(N): 31.772, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 641"
"[15:48:16] 50.75, Force(N): 29.751, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 679"
