epoch,port,reading
1750710838.672884,/dev/cu.usbmodem101,FSR Reading: 1023
1750710838.873661,/dev/cu.usbmodem101,FSR Reading: 1023
1750710839.074291,/dev/cu.usbmodem101,FSR Reading: 1023
1750710839.274993,/dev/cu.usbmodem101,FSR Reading: 1023
1750710839.4756439,/dev/cu.usbmodem101,FSR Reading: 1023
1750710839.676352,/dev/cu.usbmodem101,FSR Reading: 1023
1750710839.8730009,/dev/cu.usbmodem101,FSR Reading: 1023
1750710840.073753,/dev/cu.usbmodem101,FSR Reading: 1023
1750710840.274409,/dev/cu.usbmodem101,FSR Reading: 1023
1750710840.475009,/dev/cu.usbmodem101,FSR Reading: 1023
1750710840.675714,/dev/cu.usbmodem101,FSR Reading: 1023
1750710840.876553,/dev/cu.usbmodem101,FSR Reading: 1023
1750710841.077131,/dev/cu.usbmodem101,FSR Reading: 1023
1750710841.2778099,/dev/cu.usbmodem101,FSR Reading: 1023
1750710841.478542,/dev/cu.usbmodem101,FSR Reading: 1023
1750710841.6792152,/dev/cu.usbmodem101,FSR Reading: 1023
1750710841.8798962,/dev/cu.usbmodem101,FSR Reading: 1023
1750710842.080703,/dev/cu.usbmodem101,FSR Reading: 1023
1750710842.281439,/dev/cu.usbmodem101,FSR Reading: 1023
1750710842.481993,/dev/cu.usbmodem101,FSR Reading: 1023
1750710842.6827142,/dev/cu.usbmodem101,FSR Reading: 1023
1750710842.88339,/dev/cu.usbmodem101,FSR Reading: 1023
1750710843.0800052,/dev/cu.usbmodem101,FSR Reading: 1023
1750710843.280725,/dev/cu.usbmodem101,FSR Reading: 1023
1750710843.481429,/dev/cu.usbmodem101,FSR Reading: 1023
1750710843.6821601,/dev/cu.usbmodem101,FSR Reading: 1023
1750710843.882793,/dev/cu.usbmodem101,FSR Reading: 1023
1750710844.083603,/dev/cu.usbmodem101,FSR Reading: 1023
1750710844.28428,/dev/cu.usbmodem101,FSR Reading: 1023
1750710844.484905,/dev/cu.usbmodem101,FSR Reading: 1023
1750710844.685579,/dev/cu.usbmodem101,FSR Reading: 1023
1750710844.886286,/dev/cu.usbmodem101,FSR Reading: 1023
1750710845.08704,/dev/cu.usbmodem101,FSR Reading: 1023
1750710845.287667,/dev/cu.usbmodem101,FSR Reading: 1023
1750710845.488373,/dev/cu.usbmodem101,FSR Reading: 1023
1750710845.689096,/dev/cu.usbmodem101,FSR Reading: 1023
