timestamped_line
[17:43:09] ▶ Starting baseline phase for 5 seconds...
[17:43:16] [MAIN] t = 3.450 s | ADC: 3251 | V: 2.6199
[17:43:16] [MAIN] t = 3.500 s | ADC: 3250 | V: 2.6190
[17:43:16] [MAIN] t = 3.550 s | ADC: 3251 | V: 2.6199
[17:43:16] [MAIN] t = 3.600 s | ADC: 3250 | V: 2.6190
[17:43:16] [MAIN] t = 3.650 s | ADC: 3249 | V: 2.6182
[17:43:16] [MAIN] t = 3.700 s | ADC: 3250 | V: 2.6190
[17:43:16] [MAIN] t = 3.750 s | ADC: 3250 | V: 2.6190
[17:43:16] [MAIN] t = 3.800 s | ADC: 3251 | V: 2.6199
[17:43:16] [MAIN] t = 3.850 s | ADC: 3250 | V: 2.6190
[17:43:16] [MAIN] t = 3.900 s | ADC: 3252 | V: 2.6207
[17:43:16] [MAIN] t = 3.950 s | ADC: 3250 | V: 2.6190
[17:43:16] [MAIN] t = 4.000 s | ADC: 3251 | V: 2.6199
[17:43:16] [MAIN] t = 4.050 s | ADC: 3249 | V: 2.6182
[17:43:16] [MAIN] t = 4.100 s | ADC: 3250 | V: 2.6190
[17:43:16] [MAIN] t = 4.150 s | ADC: 3251 | V: 2.6199
[17:43:17] [MAIN] t = 4.200 s | ADC: 3251 | V: 2.6199
[17:43:17] [MAIN] t = 4.250 s | ADC: 3251 | V: 2.6199
[17:43:17] [MAIN] t = 4.300 s | ADC: 3250 | V: 2.6190
[17:43:17] [MAIN] t = 4.350 s | ADC: 3250 | V: 2.6190
[17:43:17] [MAIN] t = 4.400 s | ADC: 3249 | V: 2.6182
[17:43:17] [MAIN] t = 4.450 s | ADC: 3249 | V: 2.6182
[17:43:17] [MAIN] t = 4.500 s | ADC: 3250 | V: 2.6190
[17:43:17] [MAIN] t = 4.550 s | ADC: 3250 | V: 2.6190
[17:43:17] [MAIN] t = 4.600 s | ADC: 3250 | V: 2.6190
[17:43:17] [MAIN] t = 4.650 s | ADC: 3250 | V: 2.6190
[17:43:17] [MAIN] t = 4.700 s | ADC: 3250 | V: 2.6190
[17:43:17] [MAIN] t = 4.750 s | ADC: 3249 | V: 2.6182
[17:43:17] [MAIN] t = 4.800 s | ADC: 3251 | V: 2.6199
[17:43:17] [MAIN] t = 4.850 s | ADC: 3251 | V: 2.6199
[17:43:17] [MAIN] t = 4.900 s | ADC: 3251 | V: 2.6199
[17:43:17] [MAIN] t = 4.950 s | ADC: 3251 | V: 2.6199
[17:43:17] [MAIN] t = 5.000 s | ADC: 3252 | V: 2.6207
[17:43:17] [MAIN] t = 5.050 s | ADC: 3250 | V: 2.6190
[17:43:17] [MAIN] t = 5.100 s | ADC: 3251 | V: 2.6199
[17:43:17] [MAIN] t = 5.150 s | ADC: 3251 | V: 2.6199
[17:43:18] [MAIN] t = 5.200 s | ADC: 3251 | V: 2.6199
[17:43:18] [MAIN] t = 5.250 s | ADC: 3253 | V: 2.6215
[17:43:18] [MAIN] t = 5.300 s | ADC: 3251 | V: 2.6199
[17:43:18] [MAIN] t = 5.350 s | ADC: 3251 | V: 2.6199
[17:43:18] [MAIN] t = 5.400 s | ADC: 3251 | V: 2.6199
[17:43:18] [MAIN] t = 5.450 s | ADC: 3251 | V: 2.6199
[17:43:18] [MAIN] t = 5.500 s | ADC: 3250 | V: 2.6190
[17:43:18] [MAIN] t = 5.550 s | ADC: 3252 | V: 2.6207
[17:43:18] [MAIN] t = 5.600 s | ADC: 3252 | V: 2.6207
[17:43:18] [MAIN] t = 5.650 s | ADC: 3251 | V: 2.6199
[17:43:18] [MAIN] t = 5.700 s | ADC: 3251 | V: 2.6199
[17:43:18] [MAIN] t = 5.750 s | ADC: 3252 | V: 2.6207
[17:43:18] [MAIN] t = 5.800 s | ADC: 3251 | V: 2.6199
[17:43:18] [MAIN] t = 5.850 s | ADC: 3251 | V: 2.6199
