timestamped_line
"[15:33:07] Ready. Type 's' to start logging, 'e' to stop."
[15:33:07] Sensor Info:
[15:33:07] Sensor ID: 50
[15:33:07] Sensor Name: FORCE PLATE 850
[15:33:07] Units: N
[15:33:07] ▶️ START LOGGING
"[15:33:07] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:33:22] 18.60, Force(N): 30.762, ΔF(N): -3.032, FSR1: 1023, FSR2: 1023, FSR3: 715"
"[15:33:22] 18.71, Force(N): 29.751, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 725"
"[15:33:22] 18.82, Force(N): 28.740, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 735"
"[15:33:22] 18.94, Force(N): 27.729, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 740"
"[15:33:22] 19.05, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 754"
"[15:33:22] 19.16, Force(N): 24.697, ΔF(N): -2.021, FSR1: 1022, FSR2: 1023, FSR3: 753"
"[15:33:22] 19.28, Force(N): 25.708, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 758"
"[15:33:22] 19.39, Force(N): 24.697, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 782"
"[15:33:23] 19.50, Force(N): 23.687, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 788"
"[15:33:23] 19.61, Force(N): 22.676, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 794"
"[15:33:23] 19.73, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 828"
"[15:33:23] 19.94, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 851"
"[15:33:23] 20.36, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 942"
"[15:33:24] 20.77, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 986"
"[15:33:24] 20.89, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 991"
"[15:33:24] 21.30, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 981"
"[15:33:25] 21.62, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 997"
"[15:33:25] 22.03, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:25] 22.25, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:25] 22.36, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:26] 22.58, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:26] 22.69, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:26] 22.90, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:26] 23.02, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:33:26] 23.13, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:26] 23.35, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:27] 23.56, Force(N): 20.654, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:27] 23.67, Force(N): 18.633, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:27] 23.89, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:27] 24.00, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:33:27] 24.22, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1006"
"[15:33:27] 24.33, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 958"
"[15:33:28] 24.75, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 854"
"[15:33:28] 24.86, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 846"
"[15:33:28] 24.97, Force(N): 24.697, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 784"
"[15:33:28] 25.08, Force(N): 26.719, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 763"
"[15:33:28] 25.19, Force(N): 28.740, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 752"
"[15:33:28] 25.30, Force(N): 31.772, ΔF(N): 3.032, FSR1: 1023, FSR2: 1023, FSR3: 732"
"[15:33:29] 25.42, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 721"
"[15:33:29] 25.63, Force(N): 35.815, ΔF(N): 3.032, FSR1: 1022, FSR2: 1023, FSR3: 701"
"[15:33:29] 25.74, Force(N): 36.826, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 697"
"[15:33:29] 25.85, Force(N): 38.848, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 677"
"[15:33:29] 25.96, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 680"
"[15:33:29] 26.08, Force(N): 40.869, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 644"
"[15:33:29] 26.19, Force(N): 41.880, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 644"
"[15:33:29] 26.30, Force(N): 42.891, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 643"
"[15:33:30] 26.51, Force(N): 43.901, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 638"
"[15:33:30] 26.63, Force(N): 44.912, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 634"
"[15:33:30] 26.74, Force(N): 43.901, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 636"
"[15:33:30] 26.85, Force(N): 45.923, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 629"
"[15:33:30] 26.96, Force(N): 44.912, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 633"
"[15:33:30] 27.07, Force(N): 45.923, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 639"
"[15:33:30] 27.19, Force(N): 46.934, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 641"
