timestamped_line
[14:25:47] ▶ Starting baseline phase for 5 seconds...
[14:25:53] [MAIN] t = 3.100 s | ADC: 2821 | V: 2.2733
[14:25:53] [MAIN] t = 3.150 s | ADC: 2821 | V: 2.2733
[14:25:53] [MAIN] t = 3.200 s | ADC: 2820 | V: 2.2725
[14:25:53] [MAIN] t = 3.250 s | ADC: 2821 | V: 2.2733
[14:25:53] [MAIN] t = 3.300 s | ADC: 2820 | V: 2.2725
[14:25:53] [MAIN] t = 3.350 s | ADC: 2820 | V: 2.2725
[14:25:53] [MAIN] t = 3.400 s | ADC: 2821 | V: 2.2733
[14:25:53] [MAIN] t = 3.450 s | ADC: 2820 | V: 2.2725
[14:25:53] [MAIN] t = 3.500 s | ADC: 2820 | V: 2.2725
[14:25:53] [MAIN] t = 3.550 s | ADC: 2821 | V: 2.2733
[14:25:53] [MAIN] t = 3.600 s | ADC: 2821 | V: 2.2733
[14:25:53] [MAIN] t = 3.650 s | ADC: 2820 | V: 2.2725
[14:25:53] [MAIN] t = 3.700 s | ADC: 2821 | V: 2.2733
[14:25:53] [MAIN] t = 3.750 s | ADC: 2821 | V: 2.2733
[14:25:53] [MAIN] t = 3.800 s | ADC: 2821 | V: 2.2733
[14:25:53] [MAIN] t = 3.850 s | ADC: 2821 | V: 2.2733
[14:25:53] [MAIN] t = 3.900 s | ADC: 2820 | V: 2.2725
[14:25:53] [MAIN] t = 3.950 s | ADC: 2820 | V: 2.2725
[14:25:54] [MAIN] t = 4.000 s | ADC: 2821 | V: 2.2733
[14:25:54] [MAIN] t = 4.050 s | ADC: 2821 | V: 2.2733
[14:25:54] [MAIN] t = 4.100 s | ADC: 2821 | V: 2.2733
[14:25:54] [MAIN] t = 4.150 s | ADC: 2821 | V: 2.2733
[14:25:54] [MAIN] t = 4.200 s | ADC: 2821 | V: 2.2733
[14:25:54] [MAIN] t = 4.250 s | ADC: 2820 | V: 2.2725
[14:25:54] [MAIN] t = 4.300 s | ADC: 2820 | V: 2.2725
[14:25:54] [MAIN] t = 4.350 s | ADC: 2822 | V: 2.2741
[14:25:54] [MAIN] t = 4.400 s | ADC: 2821 | V: 2.2733
[14:25:54] [MAIN] t = 4.450 s | ADC: 2820 | V: 2.2725
[14:25:54] [MAIN] t = 4.500 s | ADC: 2820 | V: 2.2725
[14:25:54] [MAIN] t = 4.550 s | ADC: 2821 | V: 2.2733
[14:25:54] [MAIN] t = 4.600 s | ADC: 2821 | V: 2.2733
[14:25:54] [MAIN] t = 4.650 s | ADC: 2821 | V: 2.2733
[14:25:54] [MAIN] t = 4.700 s | ADC: 2820 | V: 2.2725
[14:25:54] [MAIN] t = 4.750 s | ADC: 2822 | V: 2.2741
[14:25:54] [MAIN] t = 4.800 s | ADC: 2823 | V: 2.2749
[14:25:54] [MAIN] t = 4.850 s | ADC: 2821 | V: 2.2733
[14:25:54] [MAIN] t = 4.900 s | ADC: 2823 | V: 2.2749
[14:25:54] [MAIN] t = 4.950 s | ADC: 2821 | V: 2.2733
[14:25:55] [MAIN] t = 5.000 s | ADC: 2821 | V: 2.2733
[14:25:55] [MAIN] t = 5.050 s | ADC: 2821 | V: 2.2733
[14:25:55] [MAIN] t = 5.100 s | ADC: 2822 | V: 2.2741
[14:25:55] [MAIN] t = 5.150 s | ADC: 2822 | V: 2.2741
[14:25:55] [MAIN] t = 5.200 s | ADC: 2821 | V: 2.2733
[14:25:55] [MAIN] t = 5.250 s | ADC: 2822 | V: 2.2741
[14:25:55] [MAIN] t = 5.300 s | ADC: 2822 | V: 2.2741
[14:25:55] [MAIN] t = 5.350 s | ADC: 2822 | V: 2.2741
[14:25:55] [MAIN] t = 5.400 s | ADC: 2821 | V: 2.2733
[14:25:55] [MAIN] t = 5.450 s | ADC: 2823 | V: 2.2749
[14:25:55] [MAIN] t = 5.500 s | ADC: 2822 | V: 2.2741
[14:25:55] [MAIN] t = 5.550 s | ADC: 2821 | V: 2.2733
[14:25:55] [MAIN] t = 5.600 s | ADC: 2823 | V: 2.2749
[14:25:55] [MAIN] t = 5.650 s | ADC: 2824 | V: 2.2758
[14:25:55] [MAIN] t = 5.700 s | ADC: 2824 | V: 2.2758
[14:25:55] [MAIN] t = 5.750 s | ADC: 2823 | V: 2.2749
[14:25:55] [MAIN] t = 5.800 s | ADC: 2824 | V: 2.2758
[14:25:55] [MAIN] t = 5.850 s | ADC: 2823 | V: 2.2749
[14:25:55] [MAIN] t = 5.900 s | ADC: 2824 | V: 2.2758
[14:25:55] [MAIN] t = 5.950 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.000 s | ADC: 2825 | V: 2.2766
[14:25:56] [MAIN] t = 6.050 s | ADC: 2823 | V: 2.2749
[14:25:56] [MAIN] t = 6.100 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.150 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.200 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.250 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.300 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.350 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.400 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.450 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.500 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.550 s | ADC: 2825 | V: 2.2766
[14:25:56] [MAIN] t = 6.600 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.650 s | ADC: 2825 | V: 2.2766
[14:25:56] [MAIN] t = 6.700 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.750 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.800 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.850 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.900 s | ADC: 2824 | V: 2.2758
[14:25:56] [MAIN] t = 6.950 s | ADC: 2824 | V: 2.2758
