timestamped_line
"[13:40:39] Ready. Type 's' to start logging, 'e' to stop."
[13:40:39] Sensor Info:
[13:40:39] Sensor ID: 50
[13:40:39] Sensor Name: FORCE PLATE 850
[13:40:39] Units: N
[13:40:39] ▶️ START LOGGING
"[13:40:39] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[13:40:55] 19.79, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:55] 20.00, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:55] 20.11, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[13:40:56] 20.23, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:56] 20.44, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:56] 20.55, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:56] 20.67, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:56] 20.78, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:56] 20.89, Force(N): 18.633, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:57] 21.31, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
