timestamped_line
[14:08:33] ▶ Starting baseline phase for 5 seconds...
[14:08:43] [MAIN] t = 6.050 s | ADC: 2379 | V: 1.9171
[14:08:43] [MAIN] t = 6.100 s | ADC: 2379 | V: 1.9171
[14:08:43] [MAIN] t = 6.150 s | ADC: 2379 | V: 1.9171
[14:08:43] [MAIN] t = 6.200 s | ADC: 2378 | V: 1.9163
[14:08:43] [MAIN] t = 6.250 s | ADC: 2379 | V: 1.9171
[14:08:43] [MAIN] t = 6.300 s | ADC: 2377 | V: 1.9155
[14:08:43] [MAIN] t = 6.350 s | ADC: 2379 | V: 1.9171
[14:08:43] [MAIN] t = 6.400 s | ADC: 2380 | V: 1.9179
[14:08:43] [MAIN] t = 6.450 s | ADC: 2378 | V: 1.9163
[14:08:43] [MAIN] t = 6.500 s | ADC: 2379 | V: 1.9171
[14:08:43] [MAIN] t = 6.550 s | ADC: 2380 | V: 1.9179
[14:08:43] [MAIN] t = 6.600 s | ADC: 2380 | V: 1.9179
[14:08:43] [MAIN] t = 6.650 s | ADC: 2379 | V: 1.9171
[14:08:43] [MAIN] t = 6.700 s | ADC: 2380 | V: 1.9179
[14:08:43] [MAIN] t = 6.750 s | ADC: 2379 | V: 1.9171
[14:08:43] [MAIN] t = 6.800 s | ADC: 2379 | V: 1.9171
[14:08:43] [MAIN] t = 6.850 s | ADC: 2380 | V: 1.9179
[14:08:43] [MAIN] t = 6.900 s | ADC: 2379 | V: 1.9171
