timestamped_line
[14:13:16] ▶ Starting baseline phase for 5 seconds...
[14:13:23] [MAIN] t = 4.150 s | ADC: 2852 | V: 2.2983
[14:13:23] [MAIN] t = 4.200 s | ADC: 2852 | V: 2.2983
[14:13:23] [MAIN] t = 4.250 s | ADC: 2852 | V: 2.2983
[14:13:23] [MAIN] t = 4.300 s | ADC: 2851 | V: 2.2975
[14:13:23] [MAIN] t = 4.350 s | ADC: 2852 | V: 2.2983
[14:13:23] [MAIN] t = 4.400 s | ADC: 2853 | V: 2.2991
[14:13:23] [MAIN] t = 4.450 s | ADC: 2852 | V: 2.2983
[14:13:23] [MAIN] t = 4.500 s | ADC: 2851 | V: 2.2975
[14:13:23] [MAIN] t = 4.550 s | ADC: 2852 | V: 2.2983
[14:13:23] [MAIN] t = 4.600 s | ADC: 2851 | V: 2.2975
[14:13:24] [MAIN] t = 4.650 s | ADC: 2852 | V: 2.2983
[14:13:24] [MAIN] t = 4.700 s | ADC: 2851 | V: 2.2975
[14:13:24] [MAIN] t = 4.750 s | ADC: 2851 | V: 2.2975
[14:13:24] [MAIN] t = 4.800 s | ADC: 2852 | V: 2.2983
[14:13:24] [MAIN] t = 4.850 s | ADC: 2852 | V: 2.2983
[14:13:24] [MAIN] t = 4.900 s | ADC: 2852 | V: 2.2983
[14:13:24] [MAIN] t = 4.950 s | ADC: 2851 | V: 2.2975
[14:13:24] [MAIN] t = 5.000 s | ADC: 2851 | V: 2.2975
[14:13:24] [MAIN] t = 5.050 s | ADC: 2853 | V: 2.2991
[14:13:24] [MAIN] t = 5.100 s | ADC: 2851 | V: 2.2975
[14:13:24] [MAIN] t = 5.150 s | ADC: 2852 | V: 2.2983
[14:13:24] [MAIN] t = 5.200 s | ADC: 2852 | V: 2.2983
[14:13:24] [MAIN] t = 5.250 s | ADC: 2851 | V: 2.2975
[14:13:24] [MAIN] t = 5.300 s | ADC: 2852 | V: 2.2983
[14:13:24] [MAIN] t = 5.350 s | ADC: 2851 | V: 2.2975
[14:13:24] [MAIN] t = 5.400 s | ADC: 2851 | V: 2.2975
[14:13:24] [MAIN] t = 5.450 s | ADC: 2851 | V: 2.2975
[14:13:24] [MAIN] t = 5.500 s | ADC: 2851 | V: 2.2975
[14:13:24] [MAIN] t = 5.550 s | ADC: 2850 | V: 2.2967
[14:13:24] [MAIN] t = 5.600 s | ADC: 2851 | V: 2.2975
[14:13:25] [MAIN] t = 5.650 s | ADC: 2850 | V: 2.2967
[14:13:25] [MAIN] t = 5.700 s | ADC: 2851 | V: 2.2975
[14:13:25] [MAIN] t = 5.750 s | ADC: 2850 | V: 2.2967
